post_id,text,comment_time,from_id
3448834,Сколько на СВО ребятам  поделиться?,1704626631,278307316
3448834,Выиграл финна?,1704630487,711424050
3448834,"Да пофигу, это теннис , у меня на него аллергия со времен Тарпищева и НФС.",1704638758,156062346
3448834,А обзор гольфа,1704679523,15669009
2228229,Если 3000 компаний с числом сотрудников в них 2 млн чел уходят с рынка РФ и ВВП при этом меняется только на 5 % значит эти компании в Росии вообще ничего не производили и ничего не продавали ...интересно а если вообще все росийские компании закроются ......то ВВП наверное на целых 10 % упадет ....,1647599648,12025189
3219462,Сталина на вас нет!!! При нём цены только снижались!,1691540958,408744803
3219462,Ничего для блага👎,1691544688,581532388
3219462,"Сейчас тролли-эксперды расскажут, какая это замечательная новость.А так же пояснят о вреде чая,кофе и кондитерской продукции.😂",1691548436,164196514
3219462,"Пора уже выпускать на любителей повышать цены из за ""сложной ситуации"" счетную палату. Если не докажут обоснование штраф или срок",1691552493,11104306
3219462,"Какие производители. В России растет чай или кофе... цены на мировых биржах и не шелохнулись за полгода. По чаю предложение раз в 10 больше спроса. По кофе в 1,5 .",1691558045,64366271
3219462,Вредительство и только 👎👎👎🤣,1691564277,488342308
3219462,"Конечно надо поднимать цены на чай и кофе, разве зря мы привозили всех этих папуасов на саммит в Питер, весь город стоял в пробках,.",1691611248,272616027
3416073,"Про бизнес очень понравилось ""дефицит рабочей силы"". Так ли это? Может надо точнее формулировать? Типа: дефицит ДЕШЕВОЙ рабочей силы?",1702730527,29332217
3416073,"""По словам Владимира Путина, ВВП в этом году вырастет на 3,5%"" - это в рублях чтоли? А на сколько процентов в этом году рубль упадёт? Сейчас уже на 50 😒",1702732484,319685793
3416073,Население что-то знает!,1702737737,6057619
3416073,Жить на что-то надо.,1702740090,708101606
3416073,"Воровать меньше не стали
Теневая экономика процветает
Наглость власти экономических преступников не имеет предела",1702741539,711319315
3416073,"Она никуда не едет, она давно буксует. Пора менять волителя",1702749609,21733256
