post_id,text,comment_time,from_id,clean_text,keyword_i,mood
1171458,Почему их не запретить? Всем же ясно они нацелены на выкачивание денег с людей,1530694091,232152488,почему их не запретить всем же ясно они нацелены на выкачивание денег с людей,0,-0.603717761579901
466959,"Умные люди говорили как-то, что высокая кредитоспособность - хороший знак. Так что если резерв закончится у России, то через займы можно будет многое наверстать.",1459934618,324244519,умные люди говорили както что высокая кредитоспособность  хороший знак так что если резерв закончится у россии то через займы можно будет многое наверстать,0,-0.1318461336195469
466959,"Значит, будут грабить !...",1459936873,11229668,значит будут грабить ,0,-0.022454842925071716
466959,"На самом деле, есть перспектива такая. Но вот экономика страны сейчас прочна, как никогда. И вряд ли вообще дойдёт до расхода резервных средств.",1459936910,238799173,на самом деле есть перспектива такая но вот экономика страны сейчас прочна как никогда и вряд ли вообще дойдёт до расхода резервных средств,0,-0.058183684945106506
466959,"Все деньги у чиновников с их родными и друзьями ))))беда в том ,что эти безумцы от таких халявных денег народных с ума сошли ,образно говоря, и не хотят вкладываться в экономику России ,они лучше десятую машину купят или десяток квартир и будут их сдавать)))) такой бред во власти РФ ,что тут нужны иные законные  меры ...",1459937810,101331959,все деньги у чиновников с их родными и друзьями беда в том что эти безумцы от таких халявных денег народных с ума сошли образно говоря и не хотят вкладываться в экономику россии они лучше десятую машину купят или десяток квартир и будут их сдавать такой бред во власти рф что тут нужны иные законные  меры ,0,-0.31530027091503143
466959,Здесь необходимо проявить максимальное терпение и с поддержанием ставки на прежнем уровне здесь никто не прогадал. Позже это еще принесет определенную пользу и снизит риски инфляции.,1459939329,324178013,здесь необходимо проявить максимальное терпение и с поддержанием ставки на прежнем уровне здесь никто не прогадал позже это еще принесет определенную пользу и снизит риски инфляции,0,-0.17242996767163277
466959,"Помню- помню! Простые россияне уже были ""полноправными инвесторами"", когда им часть зарплаты выдавали облигациями! У бабули в сундуке таких целые связки валялись. Жаль, не сохранила, может, гос-во долг перед ней мне бы выплатило. Хотя.. С нашим гос-вом кому под силу тягаться?",1459939872,345245339,помню помню простые россияне уже были полноправными инвесторами когда им часть зарплаты выдавали облигациями у бабули в сундуке таких целые связки валялись жаль не сохранила может госво долг перед ней мне бы выплатило хотя с нашим госвом кому под силу тягаться,0,-0.197237029671669
466959,. В богатой и экономически более развитой США государство не финансирует спорт высших достижений. http://forjustice.ru/rubric/kogda-narod-rossii-stanet-ne-deklarirovannym-istochnikom-vlasti-v-strane.html#more-80755   14. В 2015 году из бюджета Российской Федерации «на физкультуру и спорт» выделено почти 75 млрд рублей,1459940471,244846810, в богатой и экономически более развитой сша государство не финансирует спорт высших достижений httpforjusticerurubrickogdanarodrossiistanetnedeklarirovannymistochnikomvlastivstranehtmlmore80755   14 в 2015 году из бюджета российской федерации «на физкультуру и спорт» выделено почти 75 млрд рублей,0,-0.09824853390455246
466959,в оффшорах поискать можно.,1459942720,2833543,в оффшорах поискать можно,0,0.18460786901414394
466959,"У нас достаточно средств в бюджете. И это сразу же обнаружится, стоит только посадить Набиулину в тюрьму, за диверсионную деятельность.",1459955397,162831210,у нас достаточно средств в бюджете и это сразу же обнаружится стоит только посадить набиулину в тюрьму за диверсионную деятельность,0,-0.45134814642369747
466959,"1₽=1$ , вот удивите так удивите! 
А сейчас вы конченные бюрократы, обворовали людей! Скоты!",1459958430,263344533,1₽1  вот удивите так удивите  а сейчас вы конченные бюрократы обворовали людей скоты,0,-0.323035953566432
466959,"ВЦБ сидят предатели, пятая колонна, агенты ЦРУ. Почитал, ЦБ принадлежит не РФ, а МВФ.",1459999777,348367846,вцб сидят предатели пятая колонна агенты цру почитал цб принадлежит не рф а мвф,0,-0.18698368966579437
2334739,"Они бы ссуды с ипотеками под 4% выдавали, благодетели",1613233678,549020370,они бы ссуды с ипотеками под 4 выдавали благодетели,0,-0.32372291618958116
2334739,"Настоящие банки это в роде, как у Мавроди, ни чем не закреплены и не имеют стабильного производства.",1613241574,509082117,настоящие банки это в роде как у мавроди ни чем не закреплены и не имеют стабильного производства,0,-0.44447891414165497
761877,А эти все на тяжелую жизнь жалуются?..,1486647306,2488993,а эти все на тяжелую жизнь жалуются,0,-0.2956424541771412
761877,"Так и вижу во всех страховых компаниях таблички с надписью: ""Подайте на домики для бездомных поросят!""",1486661548,168249549,так и вижу во всех страховых компаниях таблички с надписью подайте на домики для бездомных поросят,0,-0.051921432837843895
3883037,"И это хорошо! Ещё бы пореже названивать и навязывать свои ""услуги"" стали — я был бы ОЧЕНЬ рад... :)",1676964445,122378732,и это хорошо ещё бы пореже названивать и навязывать свои услуги стали — я был бы очень рад ,0,0.03622369468212128
3883037,Коль нет жилища?,1676965728,349269962,коль нет жилища,0,-0.025178844647598453
3883037,Эти микрозаймы надо все закрыть.,1676967185,557709310,эти микрозаймы надо все закрыть,0,-0.16173551743850112
655394,"Ожидаем теперь, что попрёт новая волна желающих взять ипотеку? Что еще должна сказать пониженная ставка простым российским гражданам?",1474041117,297284020,ожидаем теперь что попрёт новая волна желающих взять ипотеку что еще должна сказать пониженная ставка простым российским гражданам,0,-0.08287474513053894
655394,"[id297284020|Григорий], Ага,загнать в очередную кабалу.",1474041186,358602790,id297284020григорий агазагнать в очередную кабалу,0,-0.2078700140118599
655394,"[id297284020|Григорий], Пониженная, это когда 1.9 %/годовых. Как в цивилизованной Европе. А у нас, кроме как нефтебабками и налогами бюджет накачать, больше ничего и не могут. Отсюда и такой ""Сниженный"" процент =)",1474041323,327630741,id297284020григорий пониженная это когда 19 годовых как в цивилизованной европе а у нас кроме как нефтебабками и налогами бюджет накачать больше ничего и не могут отсюда и такой сниженный процент ,0,-0.11774564534425735
655394,"[id297284020|Григорий], А кто вам сказал что это низкая процентная ставка? 4% и то много! Краме того было сказано что деньги дадут только на валютные спекуляции - промышленность ничего не получит! Так что если что и попрёт то это курс доллара и инфляция но не за счёт понижения а засчет сокращения денежной массы! Гы!",1474041496,250848351,id297284020григорий а кто вам сказал что это низкая процентная ставка 4 и то много краме того было сказано что деньги дадут только на валютные спекуляции  промышленность ничего не получит так что если что и попрёт то это курс доллара и инфляция но не за счёт понижения а засчет сокращения денежной массы гы,0,-0.13171134144067764
655394,И вааще посмотрите на эту лживую рожу - на лесоповал пора!,1474041559,250848351,и вааще посмотрите на эту лживую рожу  на лесоповал пора,0,0.5548865534365177
655394,"А вкратце можно о том, что это означает для обычных людей?",1474041593,226983401,а вкратце можно о том что это означает для обычных людей,0,-0.010765660554170609
655394,"К выборам понизили,после повысят,все как всегда.",1474041915,2488993,к выборам понизилипосле повысятвсе как всегда,0,-0.11284015327692032
655394,"Логику ЦБ умом не узнать и вообще на какую страну работает этот ЦБ, если своих граждан вгоняет в долги кредитов и ипотеки.",1474042567,296154183,логику цб умом не узнать и вообще на какую страну работает этот цб если своих граждан вгоняет в долги кредитов и ипотеки,0,-0.38972001150250435
655394,"[id226983401|Добр], для простых людей - ничего. Это ставка кредитования банков, работающая в обе стороны. Короче говоря - это меры правительства по поддержанию экономики и банковской сферы государства.",1474044163,304512182,id226983401добр для простых людей  ничего это ставка кредитования банков работающая в обе стороны короче говоря  это меры правительства по поддержанию экономики и банковской сферы государства,0,-0.2564834654331207
655394,"[id304512182|Макс], спасибо",1474044217,226983401,id304512182макс спасибо,0,-0.0019488015677779913
655394,Курс рубля через пару месяцев обвалится.,1474044322,131683706,курс рубля через пару месяцев обвалится,0,-0.03132306318730116
